name_en,name_bn,short_name,institution_type,division,district,upazila,address,phone,email,website,established_year,education_level,education_board
Kabi Nazrul Government College,কবি নজরুল সরকারি কলেজ,KNGC,college,Dhaka,Dhaka,Mohammadpur,"Mohammadpur, Dhaka",+88029113456,principal@kngc.edu.bd,https://www.kngc.edu.bd,1970,higher_secondary,Dhaka Board
Begum Badrunnesa Government Girls College,বেগম বদরুন্নেসা সরকারি মহিলা কলেজ,BBGGC,college,Dhaka,Dhaka,Bakshibazar,"Bakshibazar, Dhaka",+88027335085,principal@bbggc.gov.bd,https://www.bbggc.gov.bd,1948,higher_secondary,Dhaka Board
Milestone College,মাইলস্টোন কলেজ,Milestone,college,Dhaka,Dhaka,Uttara,"Uttara, Dhaka",+88028956189,info@milestonecollege.com,https://www.milestonecollege.com,2008,higher_secondary,Dhaka Board
Adamjee Cantonment College,আদমজী ক্যান্টনমেন্ট কলেজ,ACC,college,Dhaka,Dhaka,Dhaka,"Cantonment, Dhaka",+88029878953,principal@acc.edu.bd,https://www.acc.edu.bd,1960,higher_secondary,Dhaka Board
BAF Shaheen College,বিএএফ শাহীন কলেজ,BAFSC,college,Dhaka,Dhaka,Dhaka,"Kurmitola, Dhaka",+88029017581,principal@bafsc.edu.bd,https://www.bafsc.edu.bd,1960,higher_secondary,Dhaka Board

# More Schools
BAF Shaheen College Dhaka,বিএএফ শাহীন কলেজ ঢাকা,BAFSC,college,Dhaka,Dhaka,Dhaka,"Kurmitola, Dhaka",+88029017581,principal@bafsd.edu.bd,https://www.bafsd.edu.bd,1960,secondary,Dhaka Board
Mohammadpur Preparatory School,মোহাম্মদপুর প্রিপারেটরি স্কুল,MPGS,school,Dhaka,Dhaka,Mohammadpur,"Mohammadpur, Dhaka",+88029113456,info@mpgs.edu.bd,https://www.mpgs.edu.bd,1976,secondary,Dhaka Board
Sunbeams School,সানবিমস স্কুল,Sunbeams,school,Dhaka,Dhaka,Dhanmondi,"Dhanmondi, Dhaka",+88029678901,info@sunbeams.edu.bd,https://www.sunbeams.edu.bd,1978,secondary,Dhaka Board
Scholastica School,স্কলাস্টিকা স্কুল,Scholastica,school,Dhaka,Dhaka,Uttara,"Uttara, Dhaka",+88028942573,info@scholastica.edu.bd,https://www.scholastica.edu.bd,1977,secondary,Dhaka Board
Sunrise School,সানরাইজ স্কুল,Sunrise,school,Dhaka,Dhaka,Gulshan,"Gulshan, Dhaka",+88029883344,info@sunriseschool.edu.bd,https://www.sunriseschool.edu.bd,1980,secondary,Dhaka Board
Maple Leaf International School,মেপল লিফ ইন্টারন্যাশনাল স্কুল,MLIS,school,Dhaka,Dhaka,Dhanmondi,"Dhanmondi, Dhaka",+88029635588,info@mapleleaf.edu.bd,https://www.mapleleaf.edu.bd,1980,secondary,Dhaka Board
Green Herald School,গ্রিন হেরাল্ড স্কুল,GHS,school,Chittagong,Chittagong,Chittagong,"Nasirabad, Chittagong",+88031680085,info@greenherald.edu.bd,https://www.greenherald.edu.bd,1972,secondary,Chittagong Board
Sunshine Grammar School,সানশাইন গ্রামার স্কুল,SGS,school,Chittagong,Chittagong,Chittagong,"Panchlaish, Chittagong",+88031651090,info@sunshinegrammar.edu.bd,https://www.sunshinegrammar.edu.bd,1985,secondary,Chittagong Board
Rajshahi Cadet College,রাজশাহী ক্যাডেট কলেজ,RCC,school,Rajshahi,Rajshahi,Rajshahi,"Sadar, Rajshahi",+880721750041,info@rcc.army.mil.bd,https://www.rcc.army.mil.bd,1966,higher_secondary,Rajshahi Board
Jhenaidah Cadet College,ঝিনাইদাহ ক্যাডেট কলেজ,JCC,school,Khulna,Jhenaidah,Jhenaidah,"Jhenaidah",+88045162345,info@jcc.army.mil.bd,https://www.jcc.army.mil.bd,1966,higher_secondary,Jessore Board
Barisal Cadet College,বরিশাল ক্যাডেট কলেজ,BCC,school,Barisal,Barisal,Barisal,"Barisal",+8804312173524,info@bcc.army.mil.bd,https://www.bcc.army.mil.bd,1981,higher_secondary,Barisal Board
Pabna Cadet College,পাবনা ক্যাডেট কলেজ,PCC,school,Rajshahi,Pabna,Pabna,"Pabna",+880731659090,info@pcc.army.mil.bd,https://www.pcc.army.mil.bd,2008,higher_secondary,Rajshahi Board
Mirzapur Cadet College,মির্জাপুর ক্যাডেট কলেজ,MCC,school,Dhaka,Tangail,Mirzapur,"Mirzapur, Tangail",+880922923014,info@mcc.army.mil.bd,https://www.mcc.army.mil.bd,2011,higher_secondary,Dhaka Board
Sylhet Cadet College,সিলেট ক্যাডেট কলেজ,SCC,school,Sylhet,Sylhet,Sylhet,"Sylhet",+880821713073,info@scc.army.mil.bd,https://www.scc.army.mil.bd,1981,higher_secondary,Sylhet Board

# More Polytechnics
Mymensingh Polytechnic Institute,ময়মনসিংহ পলিটেকনিক ইনস্টিটিউট,MPI,polytechnic,Mymensingh,Mymensingh,Mymensingh,"Medical College Road, Mymensingh",+8809155402,principal@mpi.gov.bd,https://www.mpi.gov.bd,1963,technical,Mymensingh Technical
Feni Polytechnic Institute,ফেনী পলিটেকনিক ইনস্টিটিউট,FPI,polytechnic,Chittagong,Feni,Feni,"Feni 3900",+88033161400,principal@fpi.gov.bd,https://www.fpi.gov.bd,1964,technical,Chittagong Technical
Bogura Polytechnic Institute,বগুড়া পলিটেকনিক ইনস্টিটিউট,BPI,polytechnic,Rajshahi,Bogra,Bogra,"Bogra 5800",+8805176845,principal@bogurapi.gov.bd,https://www.bogurapi.gov.bd,1965,technical,Rajshahi Technical
Rangpur Polytechnic Institute,রংপুর পলিটেকনিক ইনস্টিটিউট,RPI,polytechnic,Rangpur,Rangpur,Rangpur,"Rangpur 5400",+88052163508,principal@rangpurpi.gov.bd,https://www.rangpurpi.gov.bd,1965,technical,Rangpur Technical
Pabna Polytechnic Institute,পাবনা পলিটেকনিক ইনস্টিটিউট,PPI,polytechnic,Rajshahi,Pabna,Pabna,"Pabna 6600",+880731659090,principal@pabnapi.gov.bd,https://www.pabnapi.gov.bd,1966,technical,Pabna Technical
Jessore Polytechnic Institute,যশোর পলিটেকনিক ইনস্টিটিউট,JPI,polytechnic,Khulna,Jessore,Jessore,"Jessore 7400",+88042163400,principal@jessorepi.gov.bd,https://www.jessorepi.gov.bd,1966,technical,Jessore Technical
Comilla Polytechnic Institute,কুমিল্লা পলিটেকনিক ইনস্টিটিউট,CPI,polytechnic,Chittagong,Comilla,Comilla,"Comilla 3500",+88081768656,principal@comillapi.gov.bd,https://www.comillapi.gov.bd,1962,technical,Comilla Technical
Moulvibazar Polytechnic Institute,মৌলভীবাজার পলিটেকনিক ইনস্টিটিউট,MPI,polytechnic,Sylhet,Moulvibazar,Moulvibazar,"Moulvibazar 3200",+88086152455,principal@moulvibazarpi.gov.bd,https://www.moulvibazarpi.gov.bd,1986,technical,Sylhet Technical
Netrokona Polytechnic Institute,নেত্রকোনা পলিটেকনিক ইনস্টিটিউট,NPI,polytechnic,Mymensingh,Netrokona,Netrokona,"Netrokona 2400",+88095161400,principal@netrokonapi.gov.bd,https://www.netrokonapi.gov.bd,2005,technical,Mymensingh Technical
Kishoreganj Polytechnic Institute,কিশোরগঞ্জ পলিটেকনিক ইনস্টিটিউট,KPI,polytechnic,Dhaka,Kishoreganj,Kishoreganj,"Kishoreganj 2300",+88094161800,principal@kishoreganjpi.gov.bd,https://www.kishoreganjpi.gov.bd,2005,technical,Dhaka Technical
Gopalganj Polytechnic Institute,গোপালগঞ্জ পলিটেকনিক ইনস্টিটিউট,GPI,polytechnic,Dhaka,Gopalganj,Gopalganj,"Gopalganj 8100",+88066861400,principal@gopalganjpi.gov.bd,https://www.gopalganjpi.gov.bd,2005,technical,Dhaka Technical

# Technical Institutes
Bangladesh Institute of Glass and Ceramics,বাংলাদেশ ইনস্টিটিউট অফ গ্লাস অ্যান্ড সিরামিকস,BIGC,institute,Dhaka,Dhaka,Tejgaon,"Tejgaon Industrial Area, Dhaka",+88029144487,principal@bigc.gov.bd,https://www.bigc.gov.bd,1951,technical,Dhaka Technical
National Institute of Design,ন্যাশনাল ইনস্টিটিউট অফ ডিজাইন,NID,institute,Dhaka,Dhaka,Mirpur,"Mirpur, Dhaka",+88029010502,principal@nid.gov.bd,https://www.nid.gov.bd,1967,design,Dhaka Technical
Institute of Printing Technology,ইনস্টিটিউট অফ প্রিন্টিং টেকনোলজি,IPT,institute,Dhaka,Dhaka,Tejgaon,"Tejgaon, Dhaka",+88029113456,principal@ipt.gov.bd,https://www.ipt.gov.bd,1964,technical,Dhaka Technical
Graphic Arts Institute,গ্রাফিক আর্টস ইনস্টিটিউট,GAI,institute,Dhaka,Dhaka,Mohammadpur,"Mohammadpur, Dhaka",+88029113456,principal@gai.gov.bd,https://www.gai.gov.bd,1973,art,Dhaka Technical
Bangladesh Shilpakala Academy,বাংলাদেশ শিল্পকলা একাডেমি,BSA,institute,Dhaka,Dhaka,Segunbagicha,"Segunbagicha, Dhaka",+88029555000,info@shilpakala.gov.bd,https://www.shilpakala.gov.bd,1974,art,Ministry of Culture

# Government Medical Colleges (All Divisions)
Abdul Malek Ukil Medical College,আবদুল মালেক উকিল মেডিকেল কলেজ,AMUMC,medical,Chittagong,Noakhali,Noakhali,"Maijdee, Noakhali",+88032171481,principal@amumc.gov.bd,https://www.amumc.gov.bd,2008,graduate,BMDC
Bangabandhu Medical College,বঙ্গবন্ধু মেডিকেল কলেজ,BMC,medical,Sylhet,Sunamganj,Sunamganj,"Sunamganj",+88087162001,principal@bmc.gov.bd,https://www.bmc.gov.bd,2018,graduate,BMDC
Bangabandhu Sheikh Mujib Medical College,বঙ্গবন্ধু শেখ মুজিব মেডিকেল কলেজ,BSMMC,medical,Dhaka,Faridpur,Faridpur,"Faridpur",+88063161201,principal@bsmmc.gov.bd,https://www.bsmc.gov.bd,2014,graduate,BMDC
Chandpur Medical College,চাঁদপুর মেডিকেল কলেজ,CMC,medical,Chittagong,Chandpur,Chandpur,"Chandpur",+88084162501,principal@chandpurmc.gov.bd,https://www.chandpurmc.gov.bd,2018,graduate,BMDC
Chattogram Medical College,চট্টগ্রাম মেডিকেল কলেজ,CMC,medical,Chittagong,Chittagong,Chittagong,"Medical College Road, Chattogram",+88031261680,principal@cmc.gov.bd,1957,graduate,BMDC
Colonel Malek Medical College,কর্নেল মালেক মেডিকেল কলেজ,CMMC,medical,Dhaka,Manikganj,Manikganj,"Manikganj",+88065161201,principal@cmmc.gov.bd,2018,graduate,BMDC
Cox's Bazar Medical College,কক্সবাজার মেডিকেল কলেজ,CBMC,medical,Chittagong,Coxs Bazar,Coxs Bazar,"Cox's Bazar",+88034162001,principal@coxmc.gov.bd,2008,graduate,BMDC
Dhaka Medical College,ঢাকা মেডিকেল কলেজ,DMC,medical,Dhaka,Dhaka,Dhaka,"Secretariat Road, Dhaka",+88029556601,principal@dmc.edu.bd,https://www.dmc.edu.bd,1946,graduate,BMDC
Jashore Medical College,যশোর মেডিকেল কলেজ,JMC,medical,Khulna,Jessore,Jessore,"Jessore",+88042161601,principal@jmc.gov.bd,2010,graduate,BMDC
Khulna Medical College,খুলনা মেডিকেল কলেজ,KMC,medical,Khulna,Khulna,Khulna,"Medical College Road, Khulna",+88041273305,principal@kmc.gov.bd,1980,graduate,BMDC
Kushtia Medical College,কুষ্টিয়া মেডিকেল কলেজ,KuMC,medical,Khulna,Kushtia,Kushtia,"Kushtia",+88071262001,principal@kustiamc.gov.bd,https://www.kustiamc.gov.bd,2011,graduate,BMDC
M Abdur Rahim Medical College,এম আবদুর রহিম মেডিকেল কলেজ,MARMC,medical,Rangpur,Dinajpur,Dinajpur,"Dinajpur",+88053161618,principal@marimc.gov.bd,2018,graduate,BMDC
MAG Osmani Medical College,এমএজি ওসমানী মেডিকেল কলেজ,SOMC,medical,Sylhet,Sylhet,Sylhet,"Medical College Road, Sylhet",+880821713073,principal@somc.gov.bd,1962,graduate,BMDC
Magura Medical College,মাগুরা মেডিকেল কলেজ,MMC,medical,Khulna,Magura,Magura,"Magura",+88048862001,principal@maguramc.gov.bd,2018,graduate,BMDC
Mugda Medical College,মুগদা মেডিকেল কলেজ,MugdaMC,medical,Dhaka,Dhaka,Mugda,"Mugda, Dhaka",+88029555100,principal@mugdamc.gov.bd,2019,graduate,BMDC
Mymensingh Medical College,ময়মনসিংহ মেডিকেল কলেজ,MMC,medical,Mymensingh,Mymensingh,Mymensingh,"Medical College Road, Mymensingh",+8809155401,principal@mmc.edu.bd,https://www.mmc.edu.bd,1924,graduate,BMDC
Naogaon Medical College,নওগাঁ মেডিকেল কলেজ,NMC,medical,Rajshahi,Naogaon,Naogaon,"Naogaon",+88074162001,principal@naogaonmc.gov.bd,2018,graduate,BMDC
Netrokona Medical College,নেত্রকোনা মেডিকেল কলেজ,NMC,medical,Mymensingh,Netrokona,Netrokona,"Netrokona",+88095161401,principal@netrokonamc.gov.bd,2018,graduate,BMDC
Nilphamari Medical College,নীলফামারী মেডিকেল কলেজ,NMC,medical,Rangpur,Nilphamari,Nilphamari,"Nilphamari",+88055162001,principal@nilphamarimc.gov.bd,2018,graduate,BMDC
Pabna Medical College,পাবনা মেডিকেল কলেজ,PMC,medical,Rajshahi,Pabna,Pabna,"Medical College Road, Pabna",+880731659090,principal@pmc.gov.bd,2008,graduate,BMDC
Patuakhali Medical College,পটুয়াখালী মেডিকেল কলেজ,PtMC,medical,Barisal,Patuakhali,Patuakhali,"Patuakhali",+880442761221,principal@patuakhallimc.gov.bd,2014,graduate,BMDC
Rajshahi Medical College,রাজশাহী মেডিকেল কলেজ,RMC,medical,Rajshahi,Rajshahi,Rajshahi,"Medical College Road, Rajshahi",+880721772071,principal@rmc.edu.bd,https://www.rmc.edu.bd,1958,graduate,BMDC
Rangamati Medical College,রাঙ্গামাটি মেডিকেল কলেজ,RaMC,medical,Chittagong,Rangamati,Rangamati,"Rangamati",+88035162001,principal@rangamatimc.gov.bd,2014,graduate,BMDC
Rangpur Medical College,রংপুর মেডিকেল কলেজ,RpMC,medical,Rangpur,Rangpur,Rangpur,"Medical College Road, Rangpur",+88052163508,principal@rangpurmc.gov.bd,1970,graduate,BMDC
Sathkhira Medical College,সাতক্ষীরা মেডিকেল কলেজ,SaMC,medical,Khulna,Satkhira,Satkhira,"Satkhira",+88047162001,principal@satkhiramc.gov.bd,2018,graduate,BMDC
Shaheed M Monsur Ali Medical College,শহীদ এম মনসুর আলী মেডিকেল কলেজ,SMMAMC,medical,Rajshahi,Sirajganj,Sirajganj,"Sirajganj",+88075162001,principal@smmamc.gov.bd,2014,graduate,BMDC
Shaheed Suhrawardy Medical College,শহীদ সোহরাওয়ার্দী মেডিকেল কলেজ,SSMC,medical,Dhaka,Dhaka,Sher-e-Bangla Nagar,"Sher-e-Bangla Nagar, Dhaka",+88029113456,principal@ssmc.gov.bd,2006,graduate,BMDC
Shaheed Syed Nazrul Islam Medical College,শহীদ সৈয়দ নজরুল ইসলাম মেডিকেল কলেজ,SSNIMC,medical,Dhaka,Kishoreganj,Kishoreganj,"Kishoreganj",+88094162001,principal@ssnimc.gov.bd,2011,graduate,BMDC
Shaheed Taj Uddin Ahmad Medical College,শহীদ তাজউদ্দীন আহমদ মেডিকেল কলেজ,STUAMC,medical,Dhaka,Gazipur,Gazipur,"Gazipur",+88068162001,principal@stuamc.gov.bd,2014,graduate,BMDC
Shaheed Ziaur Rahman Medical College,শহীদ জিয়াউর রহমান মেডিকেল কলেজ,SZRMC,medical,Rajshahi,Bogra,Bogra,"Bogra",+8805176845,principal@szrmc.gov.bd,1992,graduate,BMDC
Sher-E-Bangla Medical College,শের-ই-বাংলা মেডিকেল কলেজ,SBMC,medical,Barisal,Barisal,Barisal,"Medical College Road, Barisal",+8804312173524,principal@sbmc.gov.bd,1964,graduate,BMDC
Sheikh Hasina Medical College,শেখ হাসিনা মেডিকেল কলেজ,SHMC,medical,Sylhet,Habiganj,Habiganj,"Habiganj",+88083162001,principal@shmc.gov.bd,2018,graduate,BMDC
Sheikh Hasina Medical College Jamalpur,শেখ হাসিনা মেডিকেল কলেজ জামালপুর,SHMCJ,medical,Mymensingh,Jamalpur,Jamalpur,"Jamalpur",+88098162001,principal@shmcj.gov.bd,2014,graduate,BMDC
Sheikh Hasina Medical College Tangail,শেখ হাসিনা মেডিকেল কলেজ টাঙ্গাইল,SHMCT,medical,Dhaka,Tangail,Tangail,"Tangail",+880922923015,principal@shmct.gov.bd,2014,graduate,BMDC
Sheikh Sayera Khatun Medical College,শেখ সায়েরা খাতুন মেডিকেল কলেজ,SSKMC,medical,Dhaka,Gopalganj,Gopalganj,"Gopalganj",+88066862001,principal@sskmc.gov.bd,2011,graduate,BMDC
Sir Salimullah Medical College,স্যার সলিমুল্লাহ মেডিকেল কলেজ,SSMC,medical,Dhaka,Dhaka,Mitford,"Mitford Hospital, Dhaka",+88029514002,principal@ssmc.edu.bd,https://www.ssmc.edu.bd,1972,graduate,BMDC

# Dental Colleges
Dhaka Dental College,ঢাকা ডেন্টাল কলেজ,DDC,medical,Dhaka,Dhaka,Dhaka,"Dhaka",+88029555100,principal@ddc.gov.bd,https://www.ddc.gov.bd,1961,graduate,BMDC
Chattogram Medical College Dental Unit,চট্টগ্রাম মেডিকেল কলেজ ডেন্টাল ইউনিট,CMCDU,medical,Chittagong,Chittagong,Chittagong,"Chattogram",+88031261681,principal@cmcdu.gov.bd,https://www.cmcdu.gov.bd,1990,graduate,BMDC
MAG Osmani Medical College Dental Unit,এমএজি ওসমানী মেডিকেল কলেজ ডেন্টাল ইউনিট,SOMCDU,medical,Sylhet,Sylhet,Sylhet,"Sylhet",+880821713074,principal@somcdu.gov.bd,https://www.somcdu.gov.bd,1992,graduate,BMDC
Mymensingh Medical College Dental Unit,ময়মনসিংহ মেডিকেল কলেজ ডেন্টাল ইউনিট,MMCDU,medical,Mymensingh,Mymensingh,Mymensingh,"Mymensingh",+8809155402,principal@mmcdu.gov.bd,https://www.mmcdu.gov.bd,1995,graduate,BMDC
Rajshahi Medical College Dental Unit,রাজশাহী মেডিকেল কলেজ ডেন্টাল ইউনিট,RMCDU,medical,Rajshahi,Rajshahi,Rajshahi,"Rajshahi",+880721772072,principal@rmcdu.gov.bd,https://www.rmcdu.gov.bd,1993,graduate,BMDC
Rangpur Medical College Dental Unit,রংপুর মেডিকেল কলেজ ডেন্টাল ইউনিট,RpMCDU,medical,Rangpur,Rangpur,Rangpur,"Rangpur",+88052163509,principal@rangpurmcdu.gov.bd,https://www.rangpurmcdu.gov.bd,2010,graduate,BMDC
Shaheed Suhrawardy Medical College Dental Unit,শহীদ সোহরাওয়ার্দী মেডিকেল কলেজ ডেন্টাল ইউনিট,SSMCDU,medical,Dhaka,Dhaka,Sher-e-Bangla Nagar,"Dhaka",+88029113457,principal@ssmcdu.gov.bd,https://www.ssmcdu.gov.bd,2011,graduate,BMDC
Sher-E-Bangla Medical College Dental Unit,শের-ই-বাংলা মেডিকেল কলেজ ডেন্টাল ইউনিট,SBMCDU,medical,Barisal,Barisal,Barisal,"Barisal",+8804312173525,principal@sbmcdu.gov.bd,https://www.sbmcdu.gov.bd,2012,graduate,BMDC
Sir Salimullah Medical College Dental Unit,স্যার সলিমুল্লাহ মেডিকেল কলেজ ডেন্টাল ইউনিট,SSMCDU,medical,Dhaka,Dhaka,Mitford,"Dhaka",+88029514003,principal@ssmcdu.gov.bd,https://www.ssmcdu.gov.bd,2013,graduate,BMDC
